iter	Logloss
400	0.4990903195
401	0.498526586
402	0.4983544556
403	0.4981889649
404	0.4978128709
405	0.4976149103
406	0.4972166119
407	0.4969045232
408	0.4966296956
409	0.496507071
410	0.496075216
411	0.4957420044
412	0.4954123787
413	0.4950808049
414	0.4947548621
415	0.4943462979
416	0.4939063248
417	0.4935162469
418	0.4932567605
419	0.4930347239
420	0.4926627954
421	0.4922061247
422	0.4918298479
423	0.4916679082
424	0.4913667153
425	0.4908807828
426	0.4903613915
427	0.4901365084
428	0.4897766653
429	0.4895278226
430	0.4892375495
431	0.4886561218
432	0.4880099251
433	0.4876781138
434	0.4873077433
435	0.4870212751
436	0.4867233203
437	0.486448131
438	0.4858671477
439	0.4856131324
440	0.4854136285
441	0.4852778603
442	0.4848615423
443	0.4844600895
444	0.4841359549
445	0.4837770251
446	0.483400215
447	0.4832282089
448	0.4830949459
449	0.4827909259
450	0.4825192516
451	0.4822513235
452	0.4818046185
453	0.4815372096
454	0.4810415935
455	0.4807130129
456	0.4805783133
457	0.4802476322
458	0.4800931259
459	0.4798695761
460	0.4794793422
461	0.4791011682
462	0.4789585601
463	0.4788005433
464	0.478672994
465	0.4783770275
466	0.4781144114
467	0.4777587159
468	0.4774380956
469	0.4770096663
470	0.4766531553
471	0.4762771562
472	0.4759592114
473	0.475656914
474	0.4753069754
475	0.4750800511
476	0.4747576856
477	0.4745053782
478	0.4743177602
479	0.474125686
480	0.4739398681
481	0.4735794171
482	0.4731735016
483	0.4727158959
484	0.4725365751
485	0.472252082
486	0.4720782243
487	0.4716410963
488	0.471373348
489	0.4709572164
490	0.4707288957
491	0.4705700408
492	0.4704146444
493	0.4700726683
494	0.4697423891
495	0.4695212875
496	0.4693725041
497	0.4691164089
498	0.4689823811
499	0.4687766893
